,geo_value,time_value,cases,deaths,doctor_visits,wili,wcli,doctor_visits_quantized,doctor_visits_randomized,doctor_visits_prior
258,25001,10/16/20,6,2,6.282031,0,0,12.1743228,12.1743228,6.0871614
259,25001,10/17/20,0,1,5.465931,0,0,6.0871614,30.435807,6.0871614
260,25001,10/18/20,8,0,4.842163,0,0,6.0871614,54.7844526,48.6972912
261,25001,10/19/20,2,0,4.328306,0,0,6.0871614,6.0871614,6.0871614
262,25001,10/20/20,4,0,4.070929,0,0,6.0871614,18.2614842,6.0871614
263,25001,10/21/20,9,0,3.779479,0,0,6.0871614,6.0871614,6.0871614
264,25001,10/22/20,11,1,3.698026,0.5912066,0.5912066,6.0871614,30.435807,6.0871614
265,25001,10/23/20,7,0,4.048864,0.6069022,0.6069022,6.0871614,36.5229684,48.6972912
266,25001,10/24/20,4,0,4.052596,0.6154444,0.6154444,6.0871614,6.0871614,6.0871614
267,25001,10/25/20,11,0,4.06282,1.0366728,1.0366728,6.0871614,6.0871614,6.0871614
268,25001,10/26/20,24,0,4.170348,1.1118657,1.1118657,6.0871614,54.7844526,18.2614842
269,25001,10/27/20,24,0,4.624949,1.0910083,1.0910083,6.0871614,36.5229684,6.0871614
270,25001,10/28/20,7,1,4.97615,1.1612715,1.1612715,6.0871614,6.0871614,12.1743228
271,25001,10/29/20,5,0,5.065492,0.441316,0.441316,6.0871614,30.435807,18.2614842
272,25001,10/30/20,16,0,5.106889,0.4593208,0.4593208,6.0871614,18.2614842,12.1743228
273,25001,10/31/20,9,2,5.112726,0.450519,0.450519,6.0871614,6.0871614,6.0871614
274,25001,11/1/20,22,0,5.122181,0,0,6.0871614,6.0871614,48.6972912
275,25001,11/2/20,9,0,5.141251,0,0,6.0871614,6.0871614,18.2614842
276,25001,11/3/20,5,0,4.792993,0,0,6.0871614,6.0871614,12.1743228
277,25001,11/4/20,13,1,4.307624,0,0,6.0871614,18.2614842,6.0871614
278,25001,11/5/20,11,0,4.668319,0,0,6.0871614,42.6101298,6.0871614
279,25001,11/6/20,22,0,5.690282,0,0,6.0871614,12.1743228,12.1743228
280,25001,11/7/20,12,0,6.660876,0,0,12.1743228,12.1743228,12.1743228
281,25001,11/8/20,16,0,7.51342,0,0,12.1743228,18.2614842,54.7844526
282,25001,11/9/20,11,0,8.281142,,,12.1743228,12.1743228,18.2614842
283,25001,11/10/20,30,0,8.728019,,,12.1743228,30.435807,6.0871614
284,25001,11/11/20,22,0,8.944753,0,0,12.1743228,54.7844526,48.6972912
285,25001,11/12/20,8,0,8.870821,0,0,12.1743228,24.3486456,54.7844526
286,25001,11/13/20,33,0,9.583402,0,0,12.1743228,60.871614,18.2614842
287,25001,11/14/20,23,1,10.481161,0,0,12.1743228,12.1743228,6.0871614
288,25001,11/15/20,21,1,10.928949,0,0,12.1743228,12.1743228,54.7844526
289,25001,11/16/20,18,0,11.266773,0,0,12.1743228,60.871614,12.1743228
290,25001,11/17/20,69,0,10.735965,0,0,12.1743228,18.2614842,6.0871614
291,25001,11/18/20,52,2,10.320255,0,0,12.1743228,12.1743228,12.1743228
292,25001,11/19/20,30,0,10.492929,0.2546267,0.2546267,12.1743228,54.7844526,54.7844526
293,25001,11/20/20,32,0,11.398601,0.2569072,0.2569072,12.1743228,12.1743228,6.0871614
